time,event_type,source,service_id,stress_level,resource_level
1,FLOOD_IMPACT,environment:flood,transport,0.0,4.9
1,FLOOD_IMPACT,environment:flood,emergency,0.0,2.9
1,FLOOD_IMPACT,environment:flood,power,0.0,4.0
1,FLOOD_IMPACT,environment:flood,transport,0.0,4.800000000000001
1,FLOOD_IMPACT,environment:flood,emergency,0.0,2.8
1,FLOOD_IMPACT,environment:flood,power,0.0,4.0
1,FLOOD_IMPACT,environment:flood,transport,0.0,4.700000000000001
1,FLOOD_IMPACT,environment:flood,emergency,0.0,2.6999999999999997
1,FLOOD_IMPACT,environment:flood,power,0.0,4.0
1,NORMAL_DEMAND,citizen:1,transport,0.0,4.700000000000001
1,NORMAL_DEMAND,citizen:1,emergency,0.0,2.6999999999999997
1,NORMAL_DEMAND,citizen:1,power,0.0,4.0
2,SERVICE_OVERLOAD,emergency,transport,0.0,4.700000000000001
2,SERVICE_OVERLOAD,emergency,emergency,0.3333333333333333,2.6999999999999997
2,SERVICE_OVERLOAD,emergency,power,0.0,4.0
